state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ky,2022,145000,167000,214000,166000,164000,164000,155000,156000,157000,132000,161000,149000
ky,2023,158000,135000,132000,138000,134000,119000,104000,117000,121000,111000,112000,113000
ky,2024,103000,109000,115000,125000,130000,122000,130000,138000,115000,135000,153000,128000
ky,2025,132000,100000,100000,104000,117000,99000,104000,98000,,,,
ok,2018,72000,69000,70000,73000,77000,81000,83000,81000,81000,81000,77000,82000
ok,2019,79000,75000,89000,82000,91000,78000,80000,82000,82000,90000,76000,71000
ok,2020,82000,78000,72000,79000,86000,75000,87000,85000,69000,84000,86000,83000
ok,2021,91000,98000,107000,113000,109000,114000,114000,108000,125000,124000,131000,134000
ok,2022,131000,122000,135000,120000,124000,130000,123000,126000,129000,123000,134000,129000
ok,2023,143000,121000,122000,123000,122000,118000,101000,115000,113000,121000,113000,114000
ok,2024,106000,114000,104000,107000,105000,89000,110000,109000,85000,96000,113000,98000
ok,2025,92000,98000,92000,101000,110000,98000,105000,100000,,,,
mt,2018,24000,24000,25000,23000,26000,28000,27000,29000,28000,27000,28000,28000
mt,2019,27000,28000,27000,28000,29000,28000,29000,28000,27000,25000,26000,27000
mt,2020,27000,27000,25000,20000,23000,18000,24000,24000,26000,25000,26000,27000
mt,2021,28000,29000,33000,36000,37000,40000,44000,42000,41000,44000,44000,45000
mt,2022,45000,48000,47000,48000,46000,45000,48000,38000,41000,44000,42000,48000
mt,2023,44000,38000,38000,40000,35000,36000,31000,38000,36000,34000,35000,34000
mt,2024,31000,36000,32000,31000,31000,30000,26000,28000,28000,40000,32000,27000
mt,2025,30000,30000,28000,28000,28000,28000,27000,28000,,,,
nc,2018,213000,213000,217000,243000,260000,243000,214000,252000,245000,253000,287000,278000
nc,2019,291000,291000,296000,288000,282000,263000,270000,292000,282000,321000,255000,248000
nc,2020,235000,229000,178000,153000,183000,208000,213000,219000,238000,256000,229000,252000
nc,2021,307000,291000,322000,310000,284000,355000,352000,360000,346000,354000,363000,413000
nc,2022,360000,378000,450000,394000,385000,374000,383000,351000,362000,394000,360000,360000
nc,2023,345000,360000,371000,357000,401000,336000,296000,340000,316000,298000,293000,281000
nc,2024,281000,272000,253000,284000,288000,247000,268000,260000,260000,269000,325000,281000
nc,2025,280000,277000,259000,295000,285000,281000,261000,271000,,,,
mn,2018,158000,152000,168000,151000,160000,168000,159000,160000,163000,172000,171000,161000
mn,2019,155000,147000,135000,146000,164000,152000,135000,139000,130000,123000,127000,120000
mn,2020,135000,120000,109000,92000,88000,104000,119000,119000,113000,122000,124000,104000
mn,2021,120000,131000,128000,176000,183000,183000,192000,181000,196000,222000,200000,232000
mn,2022,226000,229000,241000,258000,228000,211000,235000,207000,216000,194000,192000,218000
mn,2023,195000,188000,177000,194000,214000,192000,171000,187000,193000,201000,190000,184000
mn,2024,191000,152000,161000,151000,170000,182000,172000,178000,170000,168000,164000,164000
mn,2025,180000,179000,183000,179000,182000,163000,157000,160000,,,,
nd,2018,22000,21000,22000,21000,24000,24000,22000,23000,24000,25000,24000,26000
nd,2019,40000,25000,26000,27000,27000,25000,25000,25000,23000,26000,21000,21000
nd,2020,23000,23000,19000,16000,17000,16000,18000,18000,18000,20000,19000,20000
nd,2021,22000,23000,23000,27000,26000,29000,29000,29000,32000,31000,31000,32000
nd,2022,29000,31000,34000,32000,32000,32000,32000,27000,31000,29000,30000,30000
nd,2023,29000,30000,28000,28000,32000,30000,30000,29000,28000,24000,26000,27000
nd,2024,25000,25000,24000,22000,24000,23000,22000,23000,23000,27000,25000,25000
nd,2025,23000,23000,25000,22000,22000,23000,23000,23000,,,,
nj,2018,170000,159000,180000,192000,195000,195000,197000,188000,224000,184000,186000,185000
nj,2019,193000,170000,186000,171000,180000,182000,170000,192000,174000,185000,200000,185000
nj,2020,192000,189000,162000,146000,162000,190000,185000,165000,187000,212000,223000,212000
nj,2021,195000,227000,287000,277000,276000,289000,307000,312000,295000,312000,279000,289000
nj,2022,304000,296000,285000,273000,278000,275000,261000,243000,246000,262000,235000,251000
nj,2023,263000,260000,220000,243000,207000,199000,235000,216000,244000,203000,216000,215000
nj,2024,192000,192000,251000,191000,227000,213000,212000,200000,221000,202000,195000,196000
nj,2025,192000,241000,225000,246000,212000,205000,214000,198000,,,,
vt,2018,13000,17000,16000,15000,16000,18000,20000,17000,17000,17000,17000,17000
vt,2019,17000,16000,16000,15000,18000,17000,16000,16000,16000,16000,16000,15000
vt,2020,17000,16000,14000,12000,12000,12000,8000,13000,16000,15000,13000,14000
vt,2021,15000,17000,19000,24000,24000,23000,26000,23000,23000,25000,24000,26000
vt,2022,27000,26000,25000,26000,24000,24000,23000,19000,22000,23000,24000,22000
vt,2023,19000,21000,20000,19000,16000,18000,17000,18000,19000,18000,17000,17000
vt,2024,19000,16000,16000,15000,17000,16000,16000,16000,15000,15000,16000,12000
vt,2025,20000,17000,14000,17000,18000,16000,15000,15000,,,,
ct,2018,66000,62000,64000,66000,67000,70000,71000,71000,71000,68000,62000,65000
ct,2019,61000,63000,66000,65000,71000,64000,60000,65000,64000,74000,66000,65000
ct,2020,69000,70000,63000,45000,51000,58000,53000,56000,56000,62000,62000,65000
ct,2021,68000,72000,89000,97000,100000,94000,108000,103000,99000,108000,109000,103000
ct,2022,102000,117000,114000,114000,118000,116000,118000,112000,132000,109000,192000,108000
ct,2023,97000,97000,102000,100000,85000,94000,92000,89000,93000,78000,83000,86000
ct,2024,92000,85000,83000,82000,84000,79000,77000,79000,79000,76000,78000,76000
ct,2025,87000,81000,77000,81000,77000,75000,69000,67000,,,,
or,2018,89000,84000,83000,80000,95000,94000,97000,103000,103000,106000,102000,101000
or,2019,110000,92000,103000,99000,98000,108000,97000,97000,101000,105000,99000,115000
or,2020,107000,112000,96000,73000,76000,86000,92000,97000,96000,91000,107000,84000
or,2021,101000,112000,127000,128000,145000,145000,158000,153000,138000,147000,145000,153000
or,2022,155000,156000,158000,150000,142000,130000,157000,131000,134000,143000,134000,144000
or,2023,184000,119000,117000,139000,115000,112000,113000,115000,112000,97000,100000,90000
or,2024,102000,112000,99000,107000,101000,101000,96000,97000,102000,104000,103000,111000
or,2025,103000,98000,94000,89000,87000,85000,84000,83000,,,,
nm,2018,38000,49000,39000,41000,43000,47000,43000,46000,41000,46000,49000,48000
nm,2019,48000,42000,51000,43000,45000,45000,49000,49000,49000,45000,45000,46000
nm,2020,49000,43000,39000,37000,37000,35000,38000,34000,42000,40000,39000,37000
nm,2021,48000,46000,54000,58000,63000,65000,74000,69000,69000,73000,65000,69000
nm,2022,67000,71000,68000,71000,67000,63000,86000,65000,68000,65000,65000,64000
nm,2023,66000,55000,57000,68000,56000,59000,57000,65000,55000,51000,56000,53000
nm,2024,51000,57000,57000,57000,61000,53000,47000,51000,50000,56000,62000,51000
nm,2025,53000,54000,49000,48000,48000,49000,48000,50000,,,,
oh,2018,265000,249000,267000,279000,262000,292000,283000,274000,287000,281000,296000,305000
oh,2019,313000,262000,276000,297000,286000,261000,284000,261000,269000,278000,262000,249000
